School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM) unit(s)​,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),SchoolName_clean,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name,Calendar Year,ACARA SML ID_profile,Location AGE ID_profile,School AGE ID_profile,School Name_profile,Suburb_profile,State_profile,Postcode_profile,School Sector_profile,School Type_profile,Campus Type_profile,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,47891,40427.0,427.0,47891,St Mary's College,MARYBOROUGH,QLD,4650,Catholic,Secondary,0,School Single Entity,-25.54298,152.696613,1,Inner Regional,30434850000,31905152437,319051524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,33220,Fraser Coast,30051,Maryborough,329,Wide Bay,2024,40022,40040.0,40.0,St Mary's College,Hobart,TAS,7000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-12,Inner Regional,1059.0,72.0,14.0,27.0,31.0,28.0,114.0,91.7,69.0,50.2,945.0,945.0,0.0,945.0,5.0,10.0,90.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,47891,40427.0,427.0,47891,St Mary's College,MARYBOROUGH,QLD,4650,Catholic,Secondary,0,School Single Entity,-25.54298,152.696613,1,Inner Regional,30434850000,31905152437,319051524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,33220,Fraser Coast,30051,Maryborough,329,Wide Bay,2024,43651,57923.0,17923.0,St Mary's College,Gunnedah,NSW,2380,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stmaryscollege.nsw.edu.au/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Outer Regional,980.0,38.0,30.0,38.0,22.0,10.0,43.0,38.9,22.0,16.4,415.0,223.0,192.0,415.0,14.0,3.0,97.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,47891,40427.0,427.0,47891,St Mary's College,MARYBOROUGH,QLD,4650,Catholic,Secondary,0,School Single Entity,-25.54298,152.696613,1,Inner Regional,30434850000,31905152437,319051524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,33220,Fraser Coast,30051,Maryborough,329,Wide Bay,2024,45660,48878.0,8878.0,St Mary's College,Seymour,VIC,3660,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smseymour.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-11,Inner Regional,1008.0,51.0,30.0,40.0,22.0,8.0,54.0,45.0,33.0,26.9,561.0,292.0,269.0,561.0,5.0,8.0,92.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,47891,40427.0,427.0,47891,St Mary's College,MARYBOROUGH,QLD,4650,Catholic,Secondary,0,School Single Entity,-25.54298,152.696613,1,Inner Regional,30434850000,31905152437,319051524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,33220,Fraser Coast,30051,Maryborough,329,Wide Bay,2024,47863,57229.0,17229.0,St Mary's College,Toowoomba,QLD,4350,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stmaryscollege.com/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-12,Inner Regional,1023.0,57.0,21.0,35.0,28.0,15.0,77.0,73.0,51.0,42.8,883.0,0.0,883.0,883.0,7.0,10.0,90.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,47891,40427.0,427.0,47891,St Mary's College,MARYBOROUGH,QLD,4650,Catholic,Secondary,0,School Single Entity,-25.54298,152.696613,1,Inner Regional,30434850000,31905152437,319051524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,33220,Fraser Coast,30051,Maryborough,329,Wide Bay,2024,47881,40654.0,654.0,St Mary's College,Ipswich,QLD,4305,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stmarys.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Major Cities,1036.0,62.0,15.0,39.0,31.0,15.0,54.0,51.3,39.0,28.6,706.0,706.0,0.0,706.0,5.0,7.0,93.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,47891,40427.0,427.0,47891,St Mary's College,MARYBOROUGH,QLD,4650,Catholic,Secondary,0,School Single Entity,-25.54298,152.696613,1,Inner Regional,30434850000,31905152437,319051524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,33220,Fraser Coast,30051,Maryborough,329,Wide Bay,2024,47891,40427.0,427.0,St Mary's College,Maryborough,QLD,4650,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.smcm.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1021.0,56.0,22.0,37.0,27.0,14.0,25.0,23.7,23.0,16.1,305.0,158.0,147.0,305.0,8.0,8.0,92.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,47891,40427.0,427.0,47891,St Mary's College,MARYBOROUGH,QLD,4650,Catholic,Secondary,0,School Single Entity,-25.54298,152.696613,1,Inner Regional,30434850000,31905152437,319051524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,33220,Fraser Coast,30051,Maryborough,329,Wide Bay,2024,48961,56457.0,16457.0,St Mary's College,Broome,WA,6725,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.stmarysbroome.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Remote,839.0,4.0,50.0,22.0,17.0,10.0,78.0,72.3,76.0,67.8,750.0,350.0,400.0,750.0,61.0,56.0,44.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,47891,40427.0,427.0,47891,St Mary's College,MARYBOROUGH,QLD,4650,Catholic,Secondary,0,School Single Entity,-25.54298,152.696613,1,Inner Regional,30434850000,31905152437,319051524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,33220,Fraser Coast,30051,Maryborough,329,Wide Bay,2024,49716,40366.0,366.0,St Mary's College,Adelaide,SA,5000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stmaryscollege.catholic.edu.au,Catholic Education South Australia,https://www.cesa.catholic.edu.au/,R-12,Major Cities,1078.0,78.0,9.0,23.0,39.0,30.0,66.0,58.8,39.0,32.9,688.0,688.0,0.0,687.4,1.0,15.0,85.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,48961,56457.0,16457.0,48961,St Mary's College,BROOME,WA,6725,Catholic,Secondary,0,School Head Campus,-17.961073,122.222487,3,Remote,50036300000,51001126237,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,2024,40022,40040.0,40.0,St Mary's College,Hobart,TAS,7000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-12,Inner Regional,1059.0,72.0,14.0,27.0,31.0,28.0,114.0,91.7,69.0,50.2,945.0,945.0,0.0,945.0,5.0,10.0,90.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,48961,56457.0,16457.0,48961,St Mary's College,BROOME,WA,6725,Catholic,Secondary,0,School Head Campus,-17.961073,122.222487,3,Remote,50036300000,51001126237,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,2024,43651,57923.0,17923.0,St Mary's College,Gunnedah,NSW,2380,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stmaryscollege.nsw.edu.au/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Outer Regional,980.0,38.0,30.0,38.0,22.0,10.0,43.0,38.9,22.0,16.4,415.0,223.0,192.0,415.0,14.0,3.0,97.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,48961,56457.0,16457.0,48961,St Mary's College,BROOME,WA,6725,Catholic,Secondary,0,School Head Campus,-17.961073,122.222487,3,Remote,50036300000,51001126237,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,2024,45660,48878.0,8878.0,St Mary's College,Seymour,VIC,3660,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smseymour.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-11,Inner Regional,1008.0,51.0,30.0,40.0,22.0,8.0,54.0,45.0,33.0,26.9,561.0,292.0,269.0,561.0,5.0,8.0,92.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,48961,56457.0,16457.0,48961,St Mary's College,BROOME,WA,6725,Catholic,Secondary,0,School Head Campus,-17.961073,122.222487,3,Remote,50036300000,51001126237,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,2024,47863,57229.0,17229.0,St Mary's College,Toowoomba,QLD,4350,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stmaryscollege.com/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-12,Inner Regional,1023.0,57.0,21.0,35.0,28.0,15.0,77.0,73.0,51.0,42.8,883.0,0.0,883.0,883.0,7.0,10.0,90.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,48961,56457.0,16457.0,48961,St Mary's College,BROOME,WA,6725,Catholic,Secondary,0,School Head Campus,-17.961073,122.222487,3,Remote,50036300000,51001126237,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,2024,47881,40654.0,654.0,St Mary's College,Ipswich,QLD,4305,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stmarys.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Major Cities,1036.0,62.0,15.0,39.0,31.0,15.0,54.0,51.3,39.0,28.6,706.0,706.0,0.0,706.0,5.0,7.0,93.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,48961,56457.0,16457.0,48961,St Mary's College,BROOME,WA,6725,Catholic,Secondary,0,School Head Campus,-17.961073,122.222487,3,Remote,50036300000,51001126237,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,2024,47891,40427.0,427.0,St Mary's College,Maryborough,QLD,4650,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.smcm.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1021.0,56.0,22.0,37.0,27.0,14.0,25.0,23.7,23.0,16.1,305.0,158.0,147.0,305.0,8.0,8.0,92.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,48961,56457.0,16457.0,48961,St Mary's College,BROOME,WA,6725,Catholic,Secondary,0,School Head Campus,-17.961073,122.222487,3,Remote,50036300000,51001126237,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,2024,48961,56457.0,16457.0,St Mary's College,Broome,WA,6725,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.stmarysbroome.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Remote,839.0,4.0,50.0,22.0,17.0,10.0,78.0,72.3,76.0,67.8,750.0,350.0,400.0,750.0,61.0,56.0,44.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,48961,56457.0,16457.0,48961,St Mary's College,BROOME,WA,6725,Catholic,Secondary,0,School Head Campus,-17.961073,122.222487,3,Remote,50036300000,51001126237,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,2024,49716,40366.0,366.0,St Mary's College,Adelaide,SA,5000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stmaryscollege.catholic.edu.au,Catholic Education South Australia,https://www.cesa.catholic.edu.au/,R-12,Major Cities,1078.0,78.0,9.0,23.0,39.0,30.0,66.0,58.8,39.0,32.9,688.0,688.0,0.0,687.4,1.0,15.0,85.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,49716,40366.0,366.0,49716,St Mary's College,ADELAIDE,SA,5000,Catholic,Combined,0,School Single Entity,-34.9281,138.589,0,Major Cities,40002230000,40101100153,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide,40001,Adelaide,401,Adelaide,2024,40022,40040.0,40.0,St Mary's College,Hobart,TAS,7000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-12,Inner Regional,1059.0,72.0,14.0,27.0,31.0,28.0,114.0,91.7,69.0,50.2,945.0,945.0,0.0,945.0,5.0,10.0,90.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,49716,40366.0,366.0,49716,St Mary's College,ADELAIDE,SA,5000,Catholic,Combined,0,School Single Entity,-34.9281,138.589,0,Major Cities,40002230000,40101100153,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide,40001,Adelaide,401,Adelaide,2024,43651,57923.0,17923.0,St Mary's College,Gunnedah,NSW,2380,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stmaryscollege.nsw.edu.au/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-12,Outer Regional,980.0,38.0,30.0,38.0,22.0,10.0,43.0,38.9,22.0,16.4,415.0,223.0,192.0,415.0,14.0,3.0,97.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,49716,40366.0,366.0,49716,St Mary's College,ADELAIDE,SA,5000,Catholic,Combined,0,School Single Entity,-34.9281,138.589,0,Major Cities,40002230000,40101100153,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide,40001,Adelaide,401,Adelaide,2024,45660,48878.0,8878.0,St Mary's College,Seymour,VIC,3660,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smseymour.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-11,Inner Regional,1008.0,51.0,30.0,40.0,22.0,8.0,54.0,45.0,33.0,26.9,561.0,292.0,269.0,561.0,5.0,8.0,92.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,49716,40366.0,366.0,49716,St Mary's College,ADELAIDE,SA,5000,Catholic,Combined,0,School Single Entity,-34.9281,138.589,0,Major Cities,40002230000,40101100153,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide,40001,Adelaide,401,Adelaide,2024,47863,57229.0,17229.0,St Mary's College,Toowoomba,QLD,4350,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stmaryscollege.com/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-12,Inner Regional,1023.0,57.0,21.0,35.0,28.0,15.0,77.0,73.0,51.0,42.8,883.0,0.0,883.0,883.0,7.0,10.0,90.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,49716,40366.0,366.0,49716,St Mary's College,ADELAIDE,SA,5000,Catholic,Combined,0,School Single Entity,-34.9281,138.589,0,Major Cities,40002230000,40101100153,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide,40001,Adelaide,401,Adelaide,2024,47881,40654.0,654.0,St Mary's College,Ipswich,QLD,4305,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stmarys.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Major Cities,1036.0,62.0,15.0,39.0,31.0,15.0,54.0,51.3,39.0,28.6,706.0,706.0,0.0,706.0,5.0,7.0,93.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,49716,40366.0,366.0,49716,St Mary's College,ADELAIDE,SA,5000,Catholic,Combined,0,School Single Entity,-34.9281,138.589,0,Major Cities,40002230000,40101100153,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide,40001,Adelaide,401,Adelaide,2024,47891,40427.0,427.0,St Mary's College,Maryborough,QLD,4650,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.smcm.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1021.0,56.0,22.0,37.0,27.0,14.0,25.0,23.7,23.0,16.1,305.0,158.0,147.0,305.0,8.0,8.0,92.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,49716,40366.0,366.0,49716,St Mary's College,ADELAIDE,SA,5000,Catholic,Combined,0,School Single Entity,-34.9281,138.589,0,Major Cities,40002230000,40101100153,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide,40001,Adelaide,401,Adelaide,2024,48961,56457.0,16457.0,St Mary's College,Broome,WA,6725,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.stmarysbroome.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Remote,839.0,4.0,50.0,22.0,17.0,10.0,78.0,72.3,76.0,67.8,750.0,350.0,400.0,750.0,61.0,56.0,44.0,0.0
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,ST MARY'S COLLEGE,49716,40366.0,366.0,49716,St Mary's College,ADELAIDE,SA,5000,Catholic,Combined,0,School Single Entity,-34.9281,138.589,0,Major Cities,40002230000,40101100153,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide,40001,Adelaide,401,Adelaide,2024,49716,40366.0,366.0,St Mary's College,Adelaide,SA,5000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stmaryscollege.catholic.edu.au,Catholic Education South Australia,https://www.cesa.catholic.edu.au/,R-12,Major Cities,1078.0,78.0,9.0,23.0,39.0,30.0,66.0,58.8,39.0,32.9,688.0,688.0,0.0,687.4,1.0,15.0,85.0,0.0
St Michael's Grammar School,,ST KILDA,48,13,-,,,,Y,218,19,-,-,93.1,100,-,10,92,-,33,13.1,-,ST MICHAEL'S GRAMMAR SCHOOL,46163,41183.0,1183.0,46163,St Michael's Grammar School,ST KILDA,VIC,3182,Independent,Combined,0,School Single Entity,-37.85955,144.991742,0,Major Cities,20527120000,20605151307,206051513,St Kilda - Central,20605,Port Phillip,206,Melbourne - Inner,25900,Port Phillip,26906,Prahran (Southern Metropolitan),229,Macnamara,2024,46163,41183.0,1183.0,St Michael's Grammar School,St Kilda,VIC,3182,Independent,Combined,School Single Entity,Individual Reporting,http://www.stmichaels.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1167.0,98.0,0.0,6.0,25.0,69.0,163.0,138.3,85.0,75.4,1134.0,532.0,602.0,1133.2,0.0,12.0,88.0,0.0
St Monica's College,,EPPING,66,33,2,Y,Y,,,439,390,< 4,< 4,76.4,100,47,8,89,I/D,29,3.8,< 4,ST MONICA'S COLLEGE,40615,53639.0,13639.0,40615,St Monica's College,EPPING,VIC,3076,Catholic,Secondary,0,School Head Campus,-37.655706,145.032058,0,Major Cities,20616300000,20904143212,209041432,Epping - South,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28303,Thomastown (Northern Metropolitan),237,Scullin,2024,40615,53639.0,13639.0,St Monica's College,Epping,VIC,3076,Catholic,Secondary,School Head Campus,Rolled Reporting,http://www.stmonicas-epping.com,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1061.0,72.0,14.0,29.0,35.0,22.0,232.0,212.9,133.0,116.9,2163.0,1055.0,1108.0,2163.0,0.0,55.0,45.0,0.0
St Monica's College,,EPPING,66,33,2,Y,Y,,,439,390,< 4,< 4,76.4,100,47,8,89,I/D,29,3.8,< 4,ST MONICA'S COLLEGE,40615,53639.0,13639.0,40615,St Monica's College,EPPING,VIC,3076,Catholic,Secondary,0,School Head Campus,-37.655706,145.032058,0,Major Cities,20616300000,20904143212,209041432,Epping - South,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28303,Thomastown (Northern Metropolitan),237,Scullin,2024,47920,57231.0,17231.0,St Monica's College,Cairns,QLD,4870,Catholic,Secondary,School Single Entity,Individual Reporting,https://www.stmonicas.qld.edu.au/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Outer Regional,1058.0,71.0,9.0,26.0,34.0,31.0,62.0,58.1,28.0,23.7,706.0,706.0,0.0,706.0,11.0,13.0,87.0,0.0
St Monica's College,,EPPING,66,33,2,Y,Y,,,439,390,< 4,< 4,76.4,100,47,8,89,I/D,29,3.8,< 4,ST MONICA'S COLLEGE,47920,57231.0,17231.0,47920,St Monica's College,CAIRNS,QLD,4870,Catholic,Secondary,0,School Single Entity,-16.917595,145.773301,2,Outer Regional,30189762000,30602114525,306021145,Cairns City,30602,Cairns - South,306,Cairns,32080,Cairns,30014,Cairns,318,Leichhardt,2024,40615,53639.0,13639.0,St Monica's College,Epping,VIC,3076,Catholic,Secondary,School Head Campus,Rolled Reporting,http://www.stmonicas-epping.com,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1061.0,72.0,14.0,29.0,35.0,22.0,232.0,212.9,133.0,116.9,2163.0,1055.0,1108.0,2163.0,0.0,55.0,45.0,0.0
St Monica's College,,EPPING,66,33,2,Y,Y,,,439,390,< 4,< 4,76.4,100,47,8,89,I/D,29,3.8,< 4,ST MONICA'S COLLEGE,47920,57231.0,17231.0,47920,St Monica's College,CAIRNS,QLD,4870,Catholic,Secondary,0,School Single Entity,-16.917595,145.773301,2,Outer Regional,30189762000,30602114525,306021145,Cairns City,30602,Cairns - South,306,Cairns,32080,Cairns,30014,Cairns,318,Leichhardt,2024,47920,57231.0,17231.0,St Monica's College,Cairns,QLD,4870,Catholic,Secondary,School Single Entity,Individual Reporting,https://www.stmonicas.qld.edu.au/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Outer Regional,1058.0,71.0,9.0,26.0,34.0,31.0,62.0,58.1,28.0,23.7,706.0,706.0,0.0,706.0,11.0,13.0,87.0,0.0
St Patrick's College,,BALLARAT,45,18,-,Y,,,,276,165,11,-,63.7,98,18,< 4,97,-,28,5.3,-,ST PATRICK'S COLLEGE,40251,57222.0,17222.0,40251,St Patrick's College,PROSPECT VALE,TAS,7250,Catholic,Secondary,0,School Head Campus,-41.473557,147.127444,1,Inner Regional,60105765900,60201104810,602011048,Summerhill - Prospect,60201,Launceston,602,Launceston and North East,64010,Launceston,60113,Bass (Rosevears),601,Bass,2024,40251,57222.0,17222.0,St Patrick's College,Prospect Vale,TAS,7250,Catholic,Secondary,School Head Campus,Rolled Reporting,http://www.stpatricks.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,7-12,Inner Regional,1016.0,54.0,26.0,31.0,26.0,17.0,140.0,129.0,105.0,70.5,1545.0,783.0,762.0,1545.0,5.0,11.0,89.0,0.0
St Patrick's College,,BALLARAT,45,18,-,Y,,,,276,165,11,-,63.7,98,18,< 4,97,-,28,5.3,-,ST PATRICK'S COLLEGE,40251,57222.0,17222.0,40251,St Patrick's College,PROSPECT VALE,TAS,7250,Catholic,Secondary,0,School Head Campus,-41.473557,147.127444,1,Inner Regional,60105765900,60201104810,602011048,Summerhill - Prospect,60201,Launceston,602,Launceston and North East,64010,Launceston,60113,Bass (Rosevears),601,Bass,2024,40684,57232.0,17232.0,St Patrick's College,Mackay,QLD,4740,Catholic,Secondary,School Head Campus,Rolled Reporting,http://www.stpats.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1000.0,47.0,28.0,33.0,26.0,13.0,140.0,123.5,93.0,65.6,1422.0,699.0,723.0,1422.0,7.0,6.0,65.0,29.0
