School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1179.0,98.0,1802.0,1.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1037.0,63.0,929.0,5.0,10.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1026.0,58.0,660.0,4.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1040.0,64.0,1296.0,3.0,13.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,998.0,46.0,941.0,12.0,7.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1046.0,66.0,805.0,5.0,8.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1131.0,92.0,1081.0,4.0,12.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1047.0,67.0,974.0,0.0,3.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1179.0,98.0,1802.0,1.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1037.0,63.0,929.0,5.0,10.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1026.0,58.0,660.0,4.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1040.0,64.0,1296.0,3.0,13.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,998.0,46.0,941.0,12.0,7.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1046.0,66.0,805.0,5.0,8.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1131.0,92.0,1081.0,4.0,12.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1047.0,67.0,974.0,0.0,3.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1179.0,98.0,1802.0,1.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1037.0,63.0,929.0,5.0,10.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1026.0,58.0,660.0,4.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1040.0,64.0,1296.0,3.0,13.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,998.0,46.0,941.0,12.0,7.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1046.0,66.0,805.0,5.0,8.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1131.0,92.0,1081.0,4.0,12.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1047.0,67.0,974.0,0.0,3.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1179.0,98.0,1802.0,1.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1037.0,63.0,929.0,5.0,10.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1026.0,58.0,660.0,4.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1040.0,64.0,1296.0,3.0,13.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,998.0,46.0,941.0,12.0,7.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1046.0,66.0,805.0,5.0,8.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1131.0,92.0,1081.0,4.0,12.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1047.0,67.0,974.0,0.0,3.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1179.0,98.0,1802.0,1.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1037.0,63.0,929.0,5.0,10.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1026.0,58.0,660.0,4.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1040.0,64.0,1296.0,3.0,13.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,998.0,46.0,941.0,12.0,7.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1046.0,66.0,805.0,5.0,8.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1131.0,92.0,1081.0,4.0,12.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1047.0,67.0,974.0,0.0,3.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1179.0,98.0,1802.0,1.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1037.0,63.0,929.0,5.0,10.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1026.0,58.0,660.0,4.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1040.0,64.0,1296.0,3.0,13.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,998.0,46.0,941.0,12.0,7.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1046.0,66.0,805.0,5.0,8.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1131.0,92.0,1081.0,4.0,12.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1047.0,67.0,974.0,0.0,3.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1179.0,98.0,1802.0,1.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1037.0,63.0,929.0,5.0,10.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1026.0,58.0,660.0,4.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1040.0,64.0,1296.0,3.0,13.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,998.0,46.0,941.0,12.0,7.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1046.0,66.0,805.0,5.0,8.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1131.0,92.0,1081.0,4.0,12.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1047.0,67.0,974.0,0.0,3.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1179.0,98.0,1802.0,1.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1037.0,63.0,929.0,5.0,10.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1026.0,58.0,660.0,4.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1040.0,64.0,1296.0,3.0,13.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,998.0,46.0,941.0,12.0,7.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1046.0,66.0,805.0,5.0,8.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1131.0,92.0,1081.0,4.0,12.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1047.0,67.0,974.0,0.0,3.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1179.0,98.0,1802.0,1.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1037.0,63.0,929.0,5.0,10.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1026.0,58.0,660.0,4.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1040.0,64.0,1296.0,3.0,13.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,998.0,46.0,941.0,12.0,7.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1046.0,66.0,805.0,5.0,8.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1131.0,92.0,1081.0,4.0,12.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1047.0,67.0,974.0,0.0,3.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1179.0,98.0,1802.0,1.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1037.0,63.0,929.0,5.0,10.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1026.0,58.0,660.0,4.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1040.0,64.0,1296.0,3.0,13.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,998.0,46.0,941.0,12.0,7.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1046.0,66.0,805.0,5.0,8.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1131.0,92.0,1081.0,4.0,12.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1047.0,67.0,974.0,0.0,3.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1179.0,98.0,1802.0,1.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1037.0,63.0,929.0,5.0,10.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1026.0,58.0,660.0,4.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1040.0,64.0,1296.0,3.0,13.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,998.0,46.0,941.0,12.0,7.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1046.0,66.0,805.0,5.0,8.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1131.0,92.0,1081.0,4.0,12.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1047.0,67.0,974.0,0.0,3.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1179.0,98.0,1802.0,1.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1037.0,63.0,929.0,5.0,10.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1026.0,58.0,660.0,4.0,20.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,COOMERA,QLD,-27.831408,153.33534,1040.0,64.0,1296.0,3.0,13.0,32,8.8,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,998.0,46.0,941.0,12.0,7.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1046.0,66.0,805.0,5.0,8.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1131.0,92.0,1081.0,4.0,12.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1047.0,67.0,974.0,0.0,3.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1179.0,98.0,1802.0,1.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1037.0,63.0,929.0,5.0,10.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1026.0,58.0,660.0,4.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1040.0,64.0,1296.0,3.0,13.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,998.0,46.0,941.0,12.0,7.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1046.0,66.0,805.0,5.0,8.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1131.0,92.0,1081.0,4.0,12.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1047.0,67.0,974.0,0.0,3.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1179.0,98.0,1802.0,1.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1037.0,63.0,929.0,5.0,10.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1026.0,58.0,660.0,4.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1040.0,64.0,1296.0,3.0,13.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,998.0,46.0,941.0,12.0,7.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1046.0,66.0,805.0,5.0,8.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1131.0,92.0,1081.0,4.0,12.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1047.0,67.0,974.0,0.0,3.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1179.0,98.0,1802.0,1.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1037.0,63.0,929.0,5.0,10.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1026.0,58.0,660.0,4.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1040.0,64.0,1296.0,3.0,13.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,998.0,46.0,941.0,12.0,7.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1046.0,66.0,805.0,5.0,8.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1131.0,92.0,1081.0,4.0,12.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1047.0,67.0,974.0,0.0,3.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1179.0,98.0,1802.0,1.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1037.0,63.0,929.0,5.0,10.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1026.0,58.0,660.0,4.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1040.0,64.0,1296.0,3.0,13.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,998.0,46.0,941.0,12.0,7.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1046.0,66.0,805.0,5.0,8.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1131.0,92.0,1081.0,4.0,12.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1047.0,67.0,974.0,0.0,3.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1179.0,98.0,1802.0,1.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1037.0,63.0,929.0,5.0,10.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1026.0,58.0,660.0,4.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1040.0,64.0,1296.0,3.0,13.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,998.0,46.0,941.0,12.0,7.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1046.0,66.0,805.0,5.0,8.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1131.0,92.0,1081.0,4.0,12.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1047.0,67.0,974.0,0.0,3.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1179.0,98.0,1802.0,1.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1037.0,63.0,929.0,5.0,10.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1026.0,58.0,660.0,4.0,20.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,RANGEVILLE,QLD,-27.5723697916995,151.971230519289,1040.0,64.0,1296.0,3.0,13.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,998.0,46.0,941.0,12.0,7.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,ALBANY,WA,-35.000249,117.903724,1046.0,66.0,805.0,5.0,8.0,26,2.9,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
