School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Nhill College,NHILL,14,61.5,92,23,0,45569,50708,10708,45569,Nhill College,NHILL,VIC,3418,Government,Combined,0,School Single Entity,-36.33260253,141.65886,2,Outer Regional,20275620000,21501139001,215011390,Nhill Region,21501,Grampians,215,North West,22980,Hindmarsh,24408,Lowan (Western Victoria),230,Mallee
Noble Park Secondary College,NOBLE PARK,68,68.1,100,25,0.5,45551,46231,6231,45551,Noble Park Secondary College,NOBLE PARK,VIC,3174,Government,Secondary,0,School Single Entity,-37.970209,145.182369,0,Major Cities,20229400000,21204145917,212041459,Noble Park - East,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,22205,Dandenong (South-Eastern Metropolitan),222,Hotham
Northcote High School,NORTHCOTE,146,88.1,99,30,8.5,45442,55028,15028,45442,Northcote High School,NORTHCOTE,VIC,3070,Government,Secondary,0,School Head Campus,-37.774156,144.989706,0,Major Cities,20141630000,20602150024,206021500,Northcote - West,20602,Darebin - South,206,Melbourne - Inner,21890,Darebin,26203,Northcote (Northern Metropolitan),208,Cooper
Northern Bay P-12 College,CORIO,186,41,89,24,2.2,50291,69152,29152,50291,Northern Bay P-12 College,CORIO,VIC,3214,Government,Combined,0,School Head Campus,-38.079288,144.355525,0,Major Cities,20238670000,20302148622,203021486,Corio - Lovely Banks,20302,Geelong,203,Geelong,22750,Greater Geelong,24208,Lara (Western Victoria),210,Corio
Northside Christian College,BUNDOORA,38,87,100,30,13.1,46251,42466,2466,46251,Northside Christian College,BUNDOORA,VIC,3083,Independent,Combined,0,School Single Entity,-37.69501422,145.0546707,0,Major Cities,20612280000,20904121709,209041217,Bundoora - West,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,21602,Bundoora (North-Eastern Metropolitan),237,Scullin
Norwood Secondary College,RINGWOOD,144,54.7,97,29,5.7,45443,48411,8411,45443,Norwood Secondary College,RINGWOOD,VIC,3134,Government,Secondary,0,School Single Entity,-37.800473,145.238246,0,Major Cities,20390400000,21103126609,211031266,Ringwood,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,27202,Ringwood (North-Eastern Metropolitan),211,Deakin
Nossal High School,BERWICK,19,100,100,36,27.6,45594,68202,28202,45594,Nossal High School,BERWICK,VIC,3806,Government,Secondary,0,School Single Entity,-38.03906593,145.3363137,0,Major Cities,20114340000,21202129312,212021293,Berwick - North,21202,Casey - North,212,Melbourne - South East,21610,Casey,21005,Berwick (South-Eastern Metropolitan),204,Bruce
Notre Dame College,SHEPPARTON,653,60.7,99,28,4.1,45715,44767,4767,45715,Notre Dame College,SHEPPARTON,VIC,3630,Catholic,Secondary,0,School Head Campus,-36.37470646,145.4076363,1,Inner Regional,20267150000,21603141620,216031416,Shepparton - North,21603,Shepparton,216,Shepparton,22830,Greater Shepparton,27604,Shepparton (Northern Victoria),236,Nicholls
Numurkah Secondary College,NUMURKAH,31,44.4,78,24,0,45444,51484,11484,45444,Numurkah Secondary College,NUMURKAH,VIC,3636,Government,Secondary,0,School Single Entity,-36.079948,145.446271,1,Inner Regional,20422130000,21602141324,216021413,Numurkah,21602,Moira,216,Shepparton,24900,Moira,27604,Shepparton (Northern Victoria),236,Nicholls
Oakleigh Grammar,OAKLEIGH,< 4,82.1,97,31,4.7,46287,44207,4207,46287,Oakleigh Grammar,OAKLEIGH,VIC,3166,Independent,Combined,0,School Single Entity,-37.895907,145.082819,0,Major Cities,20425400000,20802118005,208021180,Hughesdale,20802,Glen Eira,208,Melbourne - Inner South,24970,Monash,26306,Oakleigh (Southern Metropolitan),222,Hotham
Oakwood School,CAULFIELD NORTH,75,-,-,I/D,I/D,45468,49268,9268,45468,Oakwood School,CAULFIELD NORTH,VIC,3161,Government,Secondary,0,School Head Campus,-37.87398,145.034173,0,Major Cities,20191210000,20802117707,208021177,Caulfield - North,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),229,Macnamara
Oberon High School,ARMSTRONG CREEK,87,49.5,97,28,4,45445,49563,9563,45445,Oberon High School,Armstrong Creek,VIC,3217,Government,Secondary,0,School Single Entity,-38.23066802,144.3640703,0,Major Cities,21339320000,20303148910,203031489,Barwon Heads - Armstrong Creek,20303,Surf Coast - Bellarine Peninsula,203,Geelong,22750,Greater Geelong,27708,South Barwon (Western Victoria),209,Corangamite
Officer Secondary College,OFFICER,140,52.4,94,28,4.2,51485,70276,30276,51485,Officer Secondary College,OFFICER,VIC,3809,Government,Secondary,0,School Single Entity,-38.06970435,145.411463,0,Major Cities,20632006390,21201154643,212011546,Beaconsfield - Officer,21201,Cardinia,212,Melbourne - South East,21450,Cardinia,26501,Pakenham (Eastern Victoria),227,La Trobe
OneSchool Global Vic,MELTON WEST,101,1.9,100,31,7.6,46360,57293,17293,46360,OneSchool Global Vic,MELTON WEST,VIC,3337,Independent,Combined,0,School Head Campus,-37.68630891,144.5422558,0,Major Cities,20631960140,21304135812,213041358,Melton West,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24808,Melton (Western Victoria),219,Hawke
Orbost Secondary College,ORBOST,52,61.9,95,25,5.6,45446,46217,6217,53310,Orbost Secondary College,ORBOST,VIC,3888,Government,Secondary,0,School Head Campus,-37.704106,148.466353,2,Outer Regional,20160740000,20502108509,205021085,Orbost,20502,Gippsland - East,205,Latrobe - Gippsland,22110,East Gippsland,23201,Gippsland East (Eastern Victoria),216,Gippsland
Our Lady of Mercy College,HEIDELBERG,135,92.7,99,32,9.6,45760,40888,888,45760,Our Lady of Mercy College,HEIDELBERG,VIC,3084,Catholic,Secondary,0,School Single Entity,-37.75793,145.067586,0,Major Cities,20023180000,20901119814,209011198,Heidelberg - Rosanna,20901,Banyule,209,Melbourne - North East,20660,Banyule,23802,Ivanhoe (North-Eastern Metropolitan),225,Jagajaga
Our Lady of Sion College,BOX HILL,66,93.1,100,32,7.8,45823,40893,893,45823,Our Lady of Sion College,BOX HILL,VIC,3128,Catholic,Secondary,0,School Single Entity,-37.8184,145.13,0,Major Cities,20589180000,20703116318,207031163,Box Hill,20703,Whitehorse - West,207,Melbourne - Inner East,26980,Whitehorse,21102,Box Hill (North-Eastern Metropolitan),234,Menzies
Ouyen P-12 College,OUYEN,24,40,100,29,0,45447,50898,10898,45447,Ouyen P-12 College,OUYEN,VIC,3490,Government,Combined,0,School Single Entity,-35.064571,142.322608,2,Outer Regional,20414960000,21502139806,215021398,Mildura Surrounds,21502,Mildura,215,North West,24780,Mildura,24904,Mildura (Northern Victoria),230,Mallee
Oxley Christian College,CHIRNSIDE PARK,5,88.9,100,34,21.9,46255,57617,17617,46255,Oxley Christian College,CHIRNSIDE PARK,VIC,3116,Independent,Combined,0,School Single Entity,-37.76293666,145.3043162,0,Major Cities,20653320000,21105127512,211051275,Chirnside Park,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,28402,Warrandyte (North-Eastern Metropolitan),206,Casey
Ozford College,MELBOURNE,-,37.5,83,20,0,40714,86628,17944,40714,Ozford College,MELBOURNE,VIC,3000,Independent,Secondary,0,School Head Campus,-37.8105641,144.9685965,0,Major Cities,20393841000,20604150313,206041503,Melbourne CBD - East,20604,Melbourne City,206,Melbourne - Inner,24600,Melbourne,24703,Melbourne (Northern Metropolitan),233,Melbourne
Padua College,MORNINGTON,309,61.6,99,29,4.6,45713,40909,909,45713,Padua College,MORNINGTON,VIC,3931,Catholic,Secondary,0,School Head Campus,-38.21825666,145.0720043,0,Major Cities,20498000000,21402159119,214021591,Mornington - East,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,25301,Mornington (Eastern Victoria),213,Flinders
Pakenham Secondary College,PAKENHAM,106,73.1,99,27,1.2,45449,51854,11854,45449,Pakenham Secondary College,PAKENHAM,VIC,3810,Government,Secondary,0,School Single Entity,-38.06907933,145.4711008,0,Major Cities,20103280000,21201155222,212011552,Pakenham - South West,21201,Cardinia,212,Melbourne - South East,21450,Cardinia,26501,Pakenham (Eastern Victoria),227,La Trobe
Parade College,BUNDOORA,365,73.2,99,30,4.8,45629,54105,14105,45629,Parade College,BUNDOORA,VIC,3083,Catholic,Secondary,0,School Head Campus,-37.690178,145.066978,0,Major Cities,20029360000,20901119613,209011196,Bundoora - East,20901,Banyule,209,Melbourne - North East,20660,Banyule,21602,Bundoora (North-Eastern Metropolitan),225,Jagajaga
Parkdale Secondary College,MORDIALLOC,222,56.7,99,30,5.9,45450,49400,9400,45450,Parkdale Secondary College,MORDIALLOC,VIC,3195,Government,Secondary,0,School Single Entity,-37.989637,145.094101,0,Major Cities,20311380000,20803119301,208031193,Mordialloc - Parkdale,20803,Kingston,208,Melbourne - Inner South,23430,Kingston (Vic.),25205,Mordialloc (South-Eastern Metropolitan),224,Isaacs
Parkville College,PARKVILLE,107,-,100,-,-,50576,29988,29989,50576,Parkville College,PARKVILLE,VIC,3052,Government,Secondary,1,School Head Campus,-37.778764,144.942622,0,Major Cities,20668240000,20604112409,206041124,Parkville,20604,Melbourne City,206,Melbourne - Inner,24600,Melbourne,24703,Melbourne (Northern Metropolitan),233,Melbourne
Peninsula Grammar,MOUNT ELIZA,48,83.1,99,33,15.1,46219,57252,17252,46219,Peninsula Grammar,MOUNT ELIZA,VIC,3930,Independent,Combined,0,School Single Entity,-38.198174,145.090692,0,Major Cities,20501680000,21402138123,214021381,Mount Eliza,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,25301,Mornington (Eastern Victoria),212,Dunkley
Penola Catholic College,BROADMEADOWS,331,76.3,99,28,3.1,46096,54377,14377,46096,Penola Catholic College,BROADMEADOWS,VIC,3047,Catholic,Secondary,0,School Head Campus,-37.6888,144.92,0,Major Cities,20291240000,21005124206,210051242,Broadmeadows,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,21303,Broadmeadows (Northern Metropolitan),205,Calwell
Peter Lalor Secondary College,LALOR,94,22.7,86,-,-,45334,55516,15516,45334,Peter Lalor Secondary College,LALOR,VIC,3075,Government,Secondary,0,School Single Entity,-37.66841894,145.0139329,0,Major Cities,20616440000,20904153014,209041530,Lalor - West,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28303,Thomastown (Northern Metropolitan),237,Scullin
Plenty River College,SOUTH MORANG,29,-,100,-,-,53092,87891,87890,53092,Plenty River College,SOUTH MORANG,VIC,3752,Independent,Secondary,0,School Single Entity,-37.64856605,145.0815677,0,Major Cities,20631914610,20904143610,209041436,South Morang - South,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,25002,Mill Park (North-Eastern Metropolitan),237,Scullin
Plenty Valley Christian College,DOREEN,44,70.5,97,29,5.1,46269,43425,3425,46269,Plenty Valley Christian College,DOREEN,VIC,3754,Independent,Combined,0,School Single Entity,-37.613463,145.138791,0,Major Cities,20517770000,20903121214,209031212,Panton Hill - St Andrews,20903,Nillumbik - Kinglake,209,Melbourne - North East,25710,Nillumbik,28804,Yan Yean (Northern Victoria),232,McEwen
Portland Secondary College,PORTLAND,101,45.6,100,24,0.4,45534,49970,9970,45534,Portland Secondary College,PORTLAND,VIC,3305,Government,Secondary,0,School Head Campus,-38.35882225,141.5955033,2,Outer Regional,20201060000,21701142217,217011422,Portland,21701,Glenelg - Southern Grampians,217,Warrnambool and South West,22410,Glenelg,27808,South-West Coast (Western Victoria),238,Wannon
Prahran High School,WINDSOR,48,79.7,97,30,5.3,52698,86069,86068,52698,Prahran High School,WINDSOR,VIC,3181,Government,Secondary,0,School Single Entity,-37.851621,144.991306,0,Major Cities,20548711000,20606113641,206061136,Prahran - Windsor,20606,Stonnington - West,206,Melbourne - Inner,26350,Stonnington,26906,Prahran (Southern Metropolitan),220,Higgins
Presbyterian Ladies' College,BURWOOD,< 4,99.4,100,36,25.9,46162,40913,913,46162,Presbyterian Ladies' College,BURWOOD,VIC,3125,Independent,Combined,0,School Single Entity,-37.848946,145.107125,0,Major Cities,20631994730,20703116506,207031165,Burwood (Vic.),20703,Whitehorse - West,207,Melbourne - Inner East,26980,Whitehorse,21102,Box Hill (North-Eastern Metropolitan),207,Chisholm
Preston High School,PRESTON,77,94.1,97,29,4.7,52699,86071,86070,52699,Preston High School,PRESTON,VIC,3072,Government,Secondary,0,School Single Entity,-37.740967,145.006408,0,Major Cities,20631931850,20902142802,209021428,Preston - East,20902,Darebin - North,209,Melbourne - North East,21890,Darebin,27003,Preston (Northern Metropolitan),208,Cooper
Pyramid Hill College,PYRAMID HILL,8,I/D,I/D,I/D,I/D,44346,51395,11395,44346,Pyramid Hill College,PYRAMID HILL,VIC,3575,Government,Combined,0,School Single Entity,-36.04736,144.113679,2,Outer Regional,20351382000,20203103317,202031033,Loddon,20203,Loddon - Elmore,202,Bendigo,23940,Loddon,25604,Murray Plains (Northern Victoria),230,Mallee
Rainbow P-12 College,RAINBOW,15,33.3,100,24,2.9,51482,70275,30275,51482,Rainbow P-12 College,RAINBOW,VIC,3424,Government,Combined,0,School Single Entity,-35.89446757,141.9966997,3,Remote,20275140000,21501139003,215011390,Nhill Region,21501,Grampians,215,North West,22980,Hindmarsh,24408,Lowan (Western Victoria),230,Mallee
Red Cliffs Secondary College,RED CLIFFS,60,42.9,86,23,0,45458,50907,10907,45458,Red Cliffs Secondary College,RED CLIFFS,VIC,3496,Government,Secondary,0,School Head Campus,-34.298804,142.195452,2,Outer Regional,20413740000,21502139913,215021399,Red Cliffs,21502,Mildura,215,North West,24780,Mildura,24904,Mildura (Northern Victoria),230,Mallee
Red Rock Christian College,SUNBURY,-,27.3,100,27,0,46342,55299,15299,46342,Red Rock Christian College,SUNBURY,VIC,3429,Independent,Combined,0,School Single Entity,-37.5191,144.706,1,Inner Regional,20303820000,21004124005,210041240,Sunbury,21004,Sunbury,210,Melbourne - North West,23270,Hume,28007,Sunbury (Western Metropolitan),219,Hawke
Reservoir High School,RESERVOIR,99,61.7,94,28,3.8,45498,46168,6168,45498,Reservoir High School,RESERVOIR,VIC,3073,Government,Secondary,0,School Head Campus,-37.722259,145.029772,0,Major Cities,20155120000,20902152526,209021525,Reservoir - South East,20902,Darebin - North,209,Melbourne - North East,21890,Darebin,27003,Preston (Northern Metropolitan),208,Cooper
Richmond High School,RICHMOND,37,77.9,94,28,6.2,52703,,,52703,Richmond High School,RICHMOND,VIC,3121,Government,Secondary,0,School Head Campus,-37.817503,145.002623,0,Major Cities,20644450000,20607151817,206071518,Richmond - North,20607,Yarra,206,Melbourne - Inner,27350,Yarra,27103,Richmond (Northern Metropolitan),233,Melbourne
Ringwood Secondary College,RINGWOOD,166,70.5,99,30,7.9,45459,48435,8435,45459,Ringwood Secondary College,RINGWOOD,VIC,3134,Government,Secondary,0,School Single Entity,-37.816606,145.239147,0,Major Cities,20387340000,21103126643,211031266,Ringwood,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,27202,Ringwood (North-Eastern Metropolitan),211,Deakin
River Nile School,NORTH MELBOURNE,90,40,90,-,-,52480,80017,80016,52480,River Nile School,NORTH MELBOURNE,VIC,3051,Independent,Secondary,1,School Single Entity,-37.805092,144.955013,0,Major Cities,20398671000,20604150637,206041506,North Melbourne,20604,Melbourne City,206,Melbourne - Inner,24600,Melbourne,24703,Melbourne (Northern Metropolitan),233,Melbourne
Robinvale College,ROBINVALE,19,-,100,23,0,52377,68790,28790,52377,Robinvale College,ROBINVALE,VIC,3549,Government,Combined,0,School Single Entity,-34.58888676,142.7815451,2,Outer Regional,20565570000,21503140302,215031403,Robinvale,21503,Murray River - Swan Hill,215,North West,26610,Swan Hill,24904,Mildura (Northern Victoria),230,Mallee
Rochester Secondary College,ROCHESTER,83,56.4,100,27,0.9,45460,51381,11381,45460,Rochester Secondary College,ROCHESTER,VIC,3561,Government,Secondary,0,School Single Entity,-36.35277863,144.6986963,1,Inner Regional,20098840000,21601140901,216011409,Rochester,21601,Campaspe,216,Shepparton,21370,Campaspe,25604,Murray Plains (Northern Victoria),236,Nicholls
Rosebud Secondary College,ROSEBUD,108,41.2,96,27,2.2,45461,46207,6207,45461,Rosebud Secondary College,ROSEBUD,VIC,3939,Government,Secondary,0,School Single Entity,-38.367615,144.887447,0,Major Cities,20487760000,21402138417,214021384,Rosebud - McCrae,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,26001,Nepean (Eastern Victoria),213,Flinders
Rosehill Secondary College,NIDDRIE,73,69.6,99,29,1.7,45340,48417,8417,45340,Rosehill Secondary College,NIDDRIE,VIC,3042,Government,Secondary,0,School Single Entity,-37.7473,144.886,0,Major Cities,20454430000,21001123014,210011230,Niddrie - Essendon West,21001,Keilor,210,Melbourne - North West,25060,Moonee Valley,26107,Niddrie (Western Metropolitan),231,Maribyrnong
Rowville Secondary College,ROWVILLE,361,41.1,96,25,2.1,45512,54775,14775,45512,Rowville Secondary College,ROWVILLE,VIC,3178,Government,Secondary,0,School Head Campus,-37.92388682,145.2370885,0,Major Cities,20338320000,21101125616,211011256,Rowville - Central,21101,Knox,211,Melbourne - Outer East,23670,Knox,27405,Rowville (South-Eastern Metropolitan),201,Aston
Roxburgh College,ROXBURGH PARK,421,59.9,93,23,0.7,45476,57510,17510,45476,Roxburgh College,ROXBURGH PARK,VIC,3064,Government,Secondary,0,School Head Campus,-37.63062884,144.9294592,0,Major Cities,20631976240,21005154403,210051544,Roxburgh Park (South) - Somerton,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23503,Greenvale (Northern Metropolitan),205,Calwell
Rushworth P-12 College,RUSHWORTH,30,-,40,-,-,45310,51435,11435,45310,Rushworth P-12 College,RUSHWORTH,VIC,3612,Government,Combined,0,School Single Entity,-36.583317,145.014399,1,Inner Regional,20099550000,21601141009,216011410,Rushworth,21601,Campaspe,216,Shepparton,21370,Campaspe,22704,Euroa (Northern Victoria),236,Nicholls
Rutherglen High School,RUTHERGLEN,51,32.3,100,21,0,45462,51598,11598,45462,Rutherglen High School,RUTHERGLEN,VIC,3685,Government,Secondary,0,School Single Entity,-36.062564,146.452103,1,Inner Regional,20306381000,20402106508,204021065,Rutherglen,20402,Wangaratta - Benalla,204,Hume,23350,Indigo,20604,Benambra (Northern Victoria),223,Indi
Ruyton Girls' School,KEW,37,100,100,37,30.2,46138,40917,917,46138,Ruyton Girls' School,KEW,VIC,3101,Independent,Combined,0,School Single Entity,-37.81119789,145.0388602,0,Major Cities,20072280000,20701152111,207011521,Kew - South,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,24006,Kew (Southern Metropolitan),226,Kooyong
Sacre Coeur,GLEN IRIS,7,98.9,100,35,24.6,45654,53945,13945,45654,Sacre Coeur,GLEN IRIS,VIC,3146,Catholic,Combined,0,School Single Entity,-37.86151677,145.0526199,0,Major Cities,20631991500,20804119444,208041194,Malvern - Glen Iris,20804,Stonnington - East,208,Melbourne - Inner South,26350,Stonnington,24606,Malvern (Southern Metropolitan),220,Higgins
Sacred Heart Girls' College,HUGHESDALE,50,94.2,99,32,10.6,45922,40927,927,45922,Sacred Heart Girls' College,OAKLEIGH,VIC,3166,Catholic,Secondary,0,School Single Entity,-37.902163,145.086083,0,Major Cities,20631916710,20802118011,208021180,Hughesdale,20802,Glen Eira,208,Melbourne - Inner South,24970,Monash,26306,Oakleigh (Southern Metropolitan),222,Hotham
Sale College,SALE,63,58,98,24,0.7,40726,58162,18162,40726,Sale College,SALE,VIC,3850,Government,Secondary,0,School Head Campus,-38.108921,147.068006,1,Inner Regional,20631909410,20505110329,205051103,Sale,20505,Wellington,205,Latrobe - Gippsland,26810,Wellington,23301,Gippsland South (Eastern Victoria),216,Gippsland
Salesian College Sunbury,SUNBURY,197,57.9,99,27,1.2,45827,56967,16967,45827,Salesian College Sunbury,SUNBURY,VIC,3429,Catholic,Secondary,0,School Single Entity,-37.572644,144.73903,0,Major Cities,20301770000,21004124006,210041240,Sunbury,21004,Sunbury,210,Melbourne - North West,23270,Hume,28007,Sunbury (Western Metropolitan),219,Hawke
Sandringham College,SANDRINGHAM,86,69,100,31,6.9,40620,54246,14246,40620,Sandringham College,SANDRINGHAM,VIC,3191,Government,Secondary,0,School Head Campus,-37.9566838,145.0233484,0,Major Cities,20050580000,20801117339,208011173,Sandringham - Black Rock,20801,Bayside,208,Melbourne - Inner South,20910,Bayside (Vic.),27506,Sandringham (Southern Metropolitan),217,Goldstein
Santa Maria College,NORTHCOTE,22,90.2,100,30,8.9,45841,56400,16400,45841,Santa Maria College,NORTHCOTE,VIC,3070,Catholic,Secondary,0,School Single Entity,-37.770356,145.00248,0,Major Cities,20631989890,20602149922,206021499,Northcote - East,20602,Darebin - South,206,Melbourne - Inner,21890,Darebin,26203,Northcote (Northern Metropolitan),208,Cooper
Scoresby Secondary College,SCORESBY,32,48,100,28,5.6,45463,49257,9257,45463,Scoresby Secondary College,SCORESBY,VIC,3179,Government,Secondary,0,School Single Entity,-37.888642,145.2362,0,Major Cities,20335590000,21101125429,211011254,Knoxfield - Scoresby,21101,Knox,211,Melbourne - Outer East,23670,Knox,27405,Rowville (South-Eastern Metropolitan),201,Aston
Scotch College,HAWTHORN,12,98.8,100,34,22.6,46172,41266,1266,46172,Scotch College,HAWTHORN,VIC,3122,Independent,Combined,0,School Single Entity,-37.833922,145.032288,0,Major Cities,20071500000,20701152008,207011520,Hawthorn - South,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,23706,Hawthorn (Southern Metropolitan),226,Kooyong
Seymour College,SEYMOUR,103,37.8,92,25,1.7,40851,68979,28979,40851,Seymour College,SEYMOUR,VIC,3661,Government,Combined,0,School Head Campus,-37.02984234,145.1411167,1,Inner Regional,20416470000,20401105914,204011059,Seymour,20401,Upper Goulburn Valley,204,Hume,24850,Mitchell,22704,Euroa (Northern Victoria),236,Nicholls
Shelford Girls' Grammar,CAULFIELD NORTH,< 4,100,100,34,20.7,46183,41270,1270,46183,Shelford Girls' Grammar,CAULFIELD,VIC,3161,Independent,Combined,0,School Single Entity,-37.877908,145.011318,0,Major Cities,20182680000,20802117742,208021177,Caulfield - North,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),229,Macnamara
Shepparton Christian College,SHEPPARTON,17,37.5,100,28,3,46344,54752,14752,46344,Shepparton Christian College,SHEPPARTON,VIC,3630,Independent,Combined,0,School Single Entity,-36.35375591,145.4162583,1,Inner Regional,20269662000,21603141637,216031416,Shepparton - North,21603,Shepparton,216,Shepparton,22830,Greater Shepparton,27604,Shepparton (Northern Victoria),236,Nicholls
Sherbrooke Community School,SASSAFRAS,18,41.7,92,26,0,45316,46633,6633,45316,Sherbrooke Community School,SASSAFRAS,VIC,3787,Government,Combined,0,School Single Entity,-37.868244,145.349444,0,Major Cities,20648090000,21105128224,211051282,Mount Dandenong - Olinda,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,25101,Monbulk (Eastern Victoria),206,Casey
Simonds Catholic College,WEST MELBOURNE,22,83.3,98,30,6.5,45631,47869,7869,45631,Simonds Catholic College,WEST MELBOURNE,VIC,3003,Catholic,Secondary,0,School Head Campus,-37.805971,144.952883,0,Major Cities,20631900250,20604151009,206041510,West Melbourne - Residential,20604,Melbourne City,206,Melbourne - Inner,24600,Melbourne,24703,Melbourne (Northern Metropolitan),233,Melbourne
Somerville Secondary College,SOMERVILLE,63,62.5,100,28,0,45605,58029,18029,45605,Somerville Secondary College,SOMERVILLE,VIC,3912,Government,Secondary,0,School Single Entity,-38.22721827,145.1682274,0,Major Cities,20478310000,21402138526,214021385,Somerville,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,23601,Hastings (Eastern Victoria),213,Flinders
Southern Cross Grammar,CAROLINE SPRINGS,28,85.7,100,29,4.6,50394,69172,29172,50394,Southern Cross Grammar,CAROLINE SPRINGS,VIC,3023,Independent,Combined,0,School Single Entity,-37.71396413,144.7396024,0,Major Cities,20631962800,21304136017,213041360,Taylors Hill,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,28107,Sydenham (Western Metropolitan),218,Gorton
St Albans Secondary College,ST ALBANS,215,80.3,94,31,8.8,45466,46249,6249,45466,St Albans Secondary College,ST ALBANS,VIC,3021,Government,Secondary,0,School Head Campus,-37.745308,144.807009,0,Major Cities,20093620000,21301133514,213011335,St Albans - South,21301,Brimbank,213,Melbourne - West,21180,Brimbank,27907,St Albans (Western Metropolitan),214,Fraser
St Aloysius College,NORTH MELBOURNE,46,97.1,100,31,8.6,45735,40951,951,45735,St Aloysius College,NORTH MELBOURNE,VIC,3051,Catholic,Secondary,0,School Single Entity,-37.792892,144.942875,0,Major Cities,20399470000,20604150616,206041506,North Melbourne,20604,Melbourne City,206,Melbourne - Inner,24600,Melbourne,24703,Melbourne (Northern Metropolitan),233,Melbourne
St Andrews Christian College,WANTIRNA SOUTH,30,95.7,100,34,20.1,46293,44209,4209,46293,St Andrews Christian College,WANTIRNA SOUTH,VIC,3152,Independent,Combined,0,School Single Entity,-37.8741927,145.2442752,0,Major Cities,20336491000,21101126039,211011260,Wantirna South,21101,Knox,211,Melbourne - Outer East,23670,Knox,27405,Rowville (South-Eastern Metropolitan),201,Aston
St Anne's College,KIALLA,43,60.4,96,25,0.7,52735,85724,85723,52735,St Anne's College,KIALLA,VIC,3631,Catholic,Combined,0,School Single Entity,-36.43834,145.40058,1,Inner Regional,21332930000,21603159310,216031593,Kialla,21603,Shepparton,216,Shepparton,22830,Greater Shepparton,27604,Shepparton (Northern Victoria),236,Nicholls
St Arnaud Secondary College,ST ARNAUD,21,40,80,26,0,45467,50887,10887,45467,St Arnaud Secondary College,ST ARNAUD,VIC,3478,Government,Secondary,0,School Single Entity,-36.609547,143.250936,2,Outer Regional,20518300000,21501139103,215011391,St Arnaud,21501,Grampians,215,North West,25810,Northern Grampians,27308,Ripon (Western Victoria),230,Mallee
St Augustine's College,KYABRAM,40,69.8,98,27,1.5,45739,56139,16139,45739,St Augustine's College,KYABRAM,VIC,3620,Catholic,Combined,0,School Single Entity,-36.30955,145.044713,1,Inner Regional,20098090000,21601140708,216011407,Kyabram,21601,Campaspe,216,Shepparton,21370,Campaspe,25604,Murray Plains (Northern Victoria),236,Nicholls
St Bede's College,MENTONE,127,71.4,99,30,6.9,45855,55688,15688,45855,St Bede's College,MENTONE,VIC,3194,Catholic,Secondary,0,School Head Campus,-37.991161,145.068214,0,Major Cities,20317910000,20803119030,208031190,Mentone,20803,Kingston,208,Melbourne - Inner South,23430,Kingston (Vic.),27506,Sandringham (Southern Metropolitan),224,Isaacs
St Bernard's College,ESSENDON,142,73.5,99,31,8,45864,53638,13638,45864,St Bernard's College,ESSENDON,VIC,3040,Catholic,Secondary,0,School Head Campus,-37.74942324,144.8835263,0,Major Cities,20456230000,21001123011,210011230,Niddrie - Essendon West,21001,Keilor,210,Melbourne - North West,25060,Moonee Valley,26107,Niddrie (Western Metropolitan),231,Maribyrnong
